id,url,title,price,location,type,area,rooms,bedrooms,bathrooms,description,property_state,jardin,piscine,cuisine_equiped,terrasse,garage,ascenseur,quartier,status
,https://www.avito.ma/fr/aakkari/appartements/%D8%B4%D9%82%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_%D8%A8%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A7%D9%84%D8%B1%D8%A8%D8%A7%D8%B7__55286252.htm,شقة للبيع بمدينة الرباط,200000,"Aakkari, Rabat","Appartements, à vendre",,,,,شقة للبيع بمدينة الرباط,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/%D8%B4%D9%82%D8%AA%D9%8A%D9%86_%D9%84%D9%84%D8%A8%D9%8A%D8%B9__56023008.htm,شقتين للبيع,580000,"Aakkari, Rabat","Appartements, à vendre",,,,,شقتين مسجلة و محفضة مساحة 107 متر فيهوم بجوج الثمن قابل للنقاش,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_1000_m%C2%B2_%C3%A0_Rabat_55980435.htm,Appartement à vendre 1000 m² à Rabat,,"Aakkari, Rabat","Appartements, à vendre",1000,,,,"un chien maniloi charboune
age : 9moins
couplage: jamais
dressage :90%
vaccin :tout les vaccins à été bien souf vaccin de ans 5/3/2025 pour fair une ans",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Rabat_55745312.htm,Appartement à vendre 115 m² à Rabat,1402500,"Aakkari, Rabat","Appartements, à vendre",115,,,,"الإعلان عن عقار للبيع وهو عبارة عن بناية مكونة من طابق سفلي وطابق علوي والسطح.
المنزل يقع ب 35 زنقة عبد الكريم بريشة ديور البنك العكاري الرباط
لا وجود للمكترين به
المساحة 115م مربع.",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_190_m%C2%B2_%C3%A0_Rabat_55964759.htm,Appartement à vendre 190 m² à Rabat,,"Aakkari, Rabat","Appartements, à vendre",190,,,,"Situé à Qbibat Aakkari, une belle appartement à vendre d'une superficie de 190m avec terrasse, garage et ascenseur.
L'appartement composé de trois chambres à coucher, un salon, une cuisine avec cheminée, et deux salle de bain.",,false,false,false,true,true,true,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_25_m%C2%B2_%C3%A0_Rabat_55930044.htm,Appartement à vendre 25 m² à Rabat,,"Aakkari, Rabat","Appartements, à vendre",25,,,,,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Rabat_55566597.htm,Appartement à vendre 60 m² à Rabat,,"Aakkari, Rabat","Appartements, à vendre",60,,,,"شقة للرهن ب حي العكاري الرباط .15 مليون
بدون كراء.",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Rabat_54631336.htm,Appartement à vendre 88 m² à Rabat,,"Aakkari, Rabat","Appartements, à vendre",88,,,,Corniche de Rabat a 2 mn a pied vu sur mer,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Rabat_52530291.htm,Appartement à vendre 90 m² à Rabat,380000,"Aakkari, Rabat","Appartements, à vendre",200,,,,Appartement 200m² en Vente à Rabat,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_Rabat_vue_en_mer_1er_%C3%A9tage__56212799.htm,Appartement Rabat vue en mer 1er étage,,"Aakkari, Rabat","Appartements, à vendre",,,,,Je mets en vente une appartement immobilier bien équipée à Rabat spécialement Ksar El Bhar,,false,false,true,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/Appartement_a_vendre_56389104.htm,Appartement a vendre,1000000,"Aakkari, Rabat","Appartements, à vendre",,,,,Appartement bien situe. Commerces - ecoles- tram.,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/_Vendre_maison_avec_local_commercial_55726415.htm,Vendre maison avec local commercial,950000,"Aakkari, Rabat","Appartements, à vendre",,5,4,2,"Bonjour je vends une maison a rabat akkari, maison avec local commercial près de tramway, Gare rabat Agdal, bus, hôpital moulay Youssef, zone commerciale 4 chambre 2 salle de bain 2 cuisine 1 salon une cave un local commercial maison avec local,( adliya)",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/apparemment_%C3%A0_vendre__56183366.htm,apparemment à vendre,980000,"Aakkari, Rabat","Appartements, à vendre",,,,,je mets en vente un appartement en bon état en plein centre akkari tout près de la poste et station tramway,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/appartement_%C3%A0_vendre_56255720.htm,appartement à vendre,1000000,"Aakkari, Rabat","Appartements, à vendre",,3,2,1,salam je vend appartement avec 2 chambres 1 salon 1 cuisine 1 salle de bain et toilette,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/appartement_a_vendre_neuf__56260252.htm,appartement a vendre neuf,,"Aakkari, Rabat","Appartements, à vendre",,,,,appartement a vendre neuf avec une superficie de 89 M2 . 3 appartement sont disponible 3 ème et 4 ème et le 5 ème étage,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/appartement_a_vendu_Neuf_akkari__55739015.htm,appartement a vendu Neuf akkari,1450000,"Aakkari, Rabat","Appartements, à vendre",,3,2,2,"Notre agence immobilière met un appartement à vendre Neuf au rez-de-chaussée
Superficie 155 mettre carré
2 chambres a couché
Un salon
Un séjour
Une grande terrasse
2 toilettes
2 salle de bain
Une cuisine équipée
Résidence fermée sécurisé
Agence immobilière",,false,false,true,true,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/bel_appartement_%C3%A0_vendre__55331698.htm,bel appartement à vendre,,"Aakkari, Rabat","Appartements, à vendre",,3,2,,bel appartement à vendre 2 chambres à coucher 1 avec balcon cuisine avec balcon 2 salles de bain un grand salon et séjour quartier calme et sécurisé près de toutes les commodités et tramway. pour plus d'information prière de nous contacter. occasion à ne pas rater.,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/bel_appartement_au_Centre_akkari_55534546.htm,bel appartement au Centre akkari,1500000,"Aakkari, Rabat","Appartements, à vendre",,,,,"je met en vente ce bel appartement situé au centre akkari près du station tramway, souk et corniche rabat.",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/vendre_maison_avec_local_commercial__55408536.htm,vendre maison avec local commercial,900000,"Aakkari, Rabat","Appartements, à vendre",,,,,"bonjour je vends une maison à kebibate maison traditionnelle beldi avec un local commercial
près de tramway Gare de train marché 10mn centre ville a pieds",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/appartements/vendre_maison_avec_local_commercial__55653749.htm,vendre maison avec local commercial,950000,"Aakkari, Rabat","Appartements, à vendre",,6,5,,bonjour vendre maison avec local commercial a rabat près de tramway Gare taxi bus zone commerciale 5 chambre avec local commercial aussi la cave,,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/%D9%85%D9%86%D8%B2%D9%84_%D9%85%D8%B3%D8%A7%D8%AD%D8%A9_102__55209260.htm,منزل مساحة 102,850000,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"مساحة 102 متر مكعب
منزل بالطابق الاول ثم سطحين بطابق الموالي",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/%D9%85%D9%86%D8%B2%D9%84_%D9%85%D8%B3%D8%AA%D9%82%D9%84_%D8%A7%D9%84%D8%A8%D9%8A%D8%B9_55583647.htm,منزل مستقل البيع,,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,منزل للبيع تقليدي (يمكن اعادة بناءه),,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_%C3%A0_vendre_55715781.htm,Maison à vendre,1402500,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"الإعلان عن بيع عقار بالمزاد العلني الكائن ب 35 ديور البنك رقم 35 زنقة عبد الكريم بوريشة الرباط مساحته 115م مربع
العقار محفظ ومسجل بالمحافظة العقارية بالرباط حسان تحت عدد ر/49235
العقار معروف باسم دار مزهار مكون من أرض بها بناية من من طابق سفلي وطابق علوي والسطح لا وجود للمكتري به
الثمن الافتتاحي للبيع بالمزاد العلني 1,402,500,00درهم
للمزيد من المعلومات يمكن الاتصال بمصلحة التنفيذ بالمحكمة الابتدائية بالرباط",,false,false,false,false,false,false,Aakkari,à vendre
,https://www.avito.ma/fr/aakkari/maisons_et_villas/Maison_%C3%A0_vendre_akkari_55747604.htm,Maison à vendre akkari,1402500,"Aakkari, Rabat","Maisons et Villas, à vendre",,,,,"الإعلان عن عقار للبيع وهو عبارة عن بناية مكونة من طابق سفلي وطابق علوي والسطح.
المنزل يقع ب 35 زنقة عبد الكريم بريشة ديور البنك العكاري الرباط
لا وجود للمكترين به
المساحة 115م مربع.",,false,false,false,false,false,false,Aakkari,à vendre
