id,url,title,price,location,type,area,rooms,bedrooms,bathrooms,description,property_state,jardin,piscine,cuisine_equiped,terrasse,garage,ascenseur,quartier,status
6357490,https://www.mubawab.ma/fr/a/6357490/luxueuse-villa-neuve-haut-standing-%C3%A0-vendre,N/A,14000000,N/A,villa,550,6,5,4,,Moins d'un an,Oui,Oui,Oui,Oui,Oui,Non,"Souissi à
							Rabat",success
6829872,https://www.mubawab.ma/fr/a/6829872/bel-appartement-avec-terrasse,N/A,1980000,N/A,appartement,107,3,2,1,,N/A,Non,Non,Non,Oui,Non,Non,"Agdal à
							Rabat",success
6897023,https://www.mubawab.ma/fr/a/6897023/villa-commerciale-sur-avenue-houar-hay-riad,N/A,8900000,N/A,villa,791,8,5,3,,20-30 ans,Oui,Oui,Non,Oui,Non,Non,"Riyad à
							Rabat",success
6984102,https://www.mubawab.ma/fr/a/6984102/vente-palais-rabat-souissi,N/A,120000000,N/A,N/A,4800,22,10,5,,N/A,Non,Oui,Oui,Non,Oui,Oui,"Souissi à
							Rabat",success
7002092,https://www.mubawab.ma/fr/a/7002092/vente-villa-avec-piscine-%C3%A0-hay-riad,N/A,7500000,N/A,villa,622,8,4,4,,N/A,Oui,Oui,Non,Non,Non,Non,"Riyad à
							Rabat",success
7004497,https://www.mubawab.ma/fr/a/7004497/villa-meubl%C3%A9e-tr%C3%A8s-luxe-%C3%A0-souissi,N/A,10000000,N/A,villa,5000,17,11,8,,1-5 ans,Non,Oui,Non,Non,Oui,Oui,"Souissi à
							Rabat",success
7121608,https://www.mubawab.ma/fr/a/7121608/villa-%C3%A0vendre-d-un-superfi%C3%A7ie-de-790m%C2%B2,N/A,7900000,N/A,villa,790,8,4,3,,N/A,Oui,Non,Oui,Oui,Oui,Non,"Riyad à
							Rabat",success
7133617,https://www.mubawab.ma/fr/a/7133617/villa-%C3%A0-vendre-%C3%A0-hay-riad-310m2,N/A,5400000,N/A,villa,310,7,5,4,,N/A,Oui,Non,Non,Oui,Oui,Non,"Riyad à
							Rabat",success
7133634,https://www.mubawab.ma/fr/a/7133634/tr%C3%A8s-belle-appart-%C3%A0-vendre-%C3%A0-prestigia,N/A,2400000,N/A,N/A,101,3,2,2,,N/A,Oui,Oui,Oui,Oui,Oui,Oui,"Riyad à
							Rabat",success
7149116,https://www.mubawab.ma/fr/a/7149116/villa-neuve-tres-luxueuse-%C3%A0-souissi,N/A,45000000,N/A,villa,2600,8,5,6,,Moins d'un an,Oui,Oui,Non,Non,Non,Non,"Souissi à
							Rabat",success
7167983,https://www.mubawab.ma/fr/a/7167983/villas-exceptinnelle-aux-ambassadeurs,N/A,40000000,N/A,villa,3200,9,7,7,,5-10 ans,Oui,Oui,Non,Non,Non,Non,"Quartier Des Ambassades à
							Rabat",success
7229360,https://www.mubawab.ma/fr/a/7229360/ambassador,N/A,12800000,N/A,N/A,2408,N/A,4,3,,N/A,Non,Non,Non,Non,Non,Non,Rabat,success
7232507,https://www.mubawab.ma/fr/a/7232507/tres-belle-villa-neuve-%C3%A0-bir-kassem,N/A,39000000,N/A,villa,3200,9,6,6,,1-5 ans,Non,Non,Non,Non,Non,Oui,"Souissi à
							Rabat",success
7266770,https://www.mubawab.ma/fr/a/7266770/villa-moderne-en-vente-sect-23-hay-riad,N/A,8000000,N/A,villa,650,7,5,4,,N/A,Oui,Non,Oui,Oui,Oui,Non,"Riyad à
							Rabat",success
7271449,https://www.mubawab.ma/fr/a/7271449/vente-villa-rabat-souissi,N/A,43000000,N/A,villa,2262,18,7,4,,N/A,Oui,Oui,Non,Oui,Non,Oui,"Souissi à
							Rabat",success
7309097,https://www.mubawab.ma/fr/a/7309097/villa-%C3%A0-vendre,N/A,8950,N/A,villa,837,11,4,5,,10-20 ans,Oui,Non,Non,Oui,Oui,Non,"Hay Nahda à
							Rabat",success
7329130,https://www.mubawab.ma/fr/a/7329130/bel-appartement-r%C3%A9cent-au-secteur-14,N/A,3900000,N/A,appartement,215,6,3,3,,5-10 ans,Non,Non,Non,Non,Non,Non,"Riyad à
							Rabat",success
7332162,https://www.mubawab.ma/fr/a/7332162/villa-en-vente-ahayriad-de-722m,N/A,7400000,N/A,villa,722,8,6,4,,N/A,Oui,Oui,Oui,Oui,Oui,Non,"Riyad à
							Rabat",success
